------print the result------ 
Word: a, Count: 3
Word: i, Count: 12
Word: seemed, Count: 1
Word: dont, Count: 2
Word: an, Count: 2
Word: as, Count: 1
Word: be, Count: 1
Word: go, Count: 2
Word: im, Count: 1
Word: in, Count: 3
Word: it, Count: 1
Word: away, Count: 3
Word: me, Count: 1
Word: my, Count: 1
Word: oh, Count: 4
Word: so, Count: 1
Word: to, Count: 8
Word: shadow, Count: 1
Word: over, Count: 1
Word: theyre, Count: 1
Word: wouldnt, Count: 2
Word: used, Count: 1
Word: easy, Count: 2
Word: said, Count: 2
Word: looks, Count: 1
Word: something, Count: 2
Word: play, Count: 2
Word: half, Count: 1
Word: here, Count: 1
Word: hide, Count: 2
Word: all, Count: 1
Word: stay, Count: 1
Word: place, Count: 2
Word: such, Count: 2
Word: far, Count: 1
Word: for, Count: 2
Word: need, Count: 2
Word: had, Count: 2
Word: came, Count: 1
Word: believe, Count: 3
Word: know, Count: 2
Word: troubles, Count: 1
Word: man, Count: 1
Word: not, Count: 1
Word: now, Count: 5
Word: though, Count: 1
Word: say, Count: 2
Word: she, Count: 4
Word: the, Count: 1
Word: was, Count: 2
Word: why, Count: 2
Word: yesterday, Count: 9
Word: wrong, Count: 2
Word: suddenly, Count: 2
Word: hanging, Count: 1
Word: long, Count: 2
Word: love, Count: 2
Word: game, Count: 2
Word: theres, Count: 1
